Index Refs Address            Size       Wired      Name (Version) UUID <Linked Against>
   60    2 0xfffffe0007130590 0x346f     0x346f     com.apple.driver.AppleARMPMU (1.0) B4CC83A9-B708-363F-808F-14818E3C2B2A <59 28 26 9 8 7 6 5 3>
   61    3 0xfffffe00073ebd70 0x3360     0x3360     com.apple.driver.AppleEmbeddedTempSensor (1.0.0) 11406021-AB7C-3FE9-B498-EAA2D4758318 <38 28 26 9 7 6 5 3>
   62   16 0xfffffe0007abbc40 0x9f78     0x9f78     com.apple.driver.RTBuddy (1.0.0) 7CBF94AB-FE85-3272-BF43-58363BB6630E <41 40 28 26 19 10 9 8 7 6 5 3>
   63   11 0xfffffe00075e3980 0x9036     0x9036     com.apple.driver.AppleSMC (3.1.9) 4166B976-1350-34B4-B669-67B91F699D92 <62 61 60 59 41 40 38 28 8 7 6 5 3>
   64   15 0xfffffe0007707150 0xa8f      0xa8f      com.apple.driver.usb.AppleUSBCommon (1.0) 1A96AFBC-2827-3E5D-9386-7F16950F2421 <7 6 5 3>
   65    5 0xfffffe0007a837c0 0x6b1      0x6b1      com.apple.driver.AppleUSBHostMergeProperties (1.2) 1067C7C7-ED9E-3391-A858-5D47533BEC50 <8 6 5 3>
   66   23 0xfffffe0007a4bce0 0x13240    0x13240    com.apple.iokit.IOUSBHostFamily (1.2) ADC4D872-FDB9-35B8-B3B9-3BA8BA66A55D <65 64 63 20 9 8 7 6 5 3>
   67   21 0xfffffe0007980120 0x6348     0x6348     com.apple.iokit.IOPCIFamily (2.9) 7E6672DD-F880-3B24-A0F9-C39A7F79FA46 <9 8 7 6 5>
   68    2 0xfffffe0007aa9370 0x36ca     0x36ca     com.apple.iokit.IOUSBMassStorageDriver (259.100.1) 2AA8FED7-1B29-31CF-A365-A3154B8DABB0 <67 66 55 22 8 7 6 5 3>
   69    1 0xfffffe0007612f70 0xe1d      0xe1d      com.apple.driver.AppleUSBTDM (556) 509862A8-4975-349C-9027-6EA770E70AF4 <68 66 56 55 22 20 9 8 7 6 5 3>
   70    0 0xfffffe00075d1f30 0x4cb4     0x4cb4     com.apple.driver.AppleSEPKeyStore (2) A5179414-1992-3C8E-AF9C-7AEE790ADE6D <69 46 44 43 40 20 16 10 9 8 7 6 5 3>
   71    0 0xfffffe00075fcec0 0x1f08     0x1f08     com.apple.driver.AppleSSE (1.0) 13A2D827-2CB9-3E8F-9946-1FA29AAB5814 <43 40 9 8 7 6 5 3>
   72    0 0xfffffe000762c280 0x11f8     0x11f8     com.apple.driver.AppleT6041ANEHAL (8.600.3) 0C16EC1F-C900-3155-914F-A212EE8ED678 <28 10 9 8 7 6 5 3>
   73    0 0xfffffe0007701960 0x1058     0x1058     com.apple.driver.AppleUIO (1) 442FB594-59BA-339B-9764-BCE219ADA938 <67 8 7 6 5 3>
